mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
0.0,5.7,5250.0,61212.0,1578.0,17.4,12.8,30.0,"Fayette County, Illinois",17,051,Fayette County, Illinois
4.0,5.6,7872.0,73126.0,1253.0,7.3,5.6,17.0,"Logan County, Illinois",17,107,Logan County, Illinois
0.0,7.6,6697.0,59748.0,1740.0,4.6,17.9,17.0,"Saline County, Illinois",17,165,Saline County, Illinois
9677.0,5.2,203850.0,127257.0,17956.0,5.8,5.8,6631.0,"Lake County, Illinois",17,097,Lake County, Illinois
0.0,4.4,3708.0,56735.0,1277.0,2.9,13.6,6.0,"Massac County, Illinois",17,127,Massac County, Illinois
11.0,6.5,3849.0,65654.0,779.0,9.6,10.7,3.0,"Cass County, Illinois",17,017,Cass County, Illinois
11.0,2.8,11279.0,64240.0,1307.0,5.4,7.6,27.0,"Huntington County, Indiana",18,069,Huntington County, Indiana
45.0,4.0,7607.0,66551.0,3244.0,3.6,6.0,9.0,"White County, Indiana",18,181,White County, Indiana
0.0,3.8,6026.0,60027.0,1079.0,9.6,8.1,57.0,"Jay County, Indiana",18,075,Jay County, Indiana
20.0,3.6,13767.0,73073.0,1506.0,8.6,7.4,47.0,"Shelby County, Indiana",18,145,Shelby County, Indiana
0.0,4.9,5530.0,64112.0,1315.0,9.5,9.7,17.0,"Sullivan County, Indiana",18,153,Sullivan County, Indiana
132.0,4.1,58264.0,71389.0,5771.0,4.3,7.9,84.0,"Tippecanoe County, Indiana",18,157,Tippecanoe County, Indiana
157.0,2.8,103077.0,131790.0,6737.0,7.1,3.2,1513.0,"Hamilton County, Indiana",18,057,Hamilton County, Indiana
24.0,4.2,24691.0,80056.0,2895.0,8.6,9.1,110.0,"Bartholomew County, Indiana",18,005,Bartholomew County, Indiana
0.0,4.2,5567.0,65255.0,1904.0,8.7,9.3,25.0,"Fulton County, Indiana",18,049,Fulton County, Indiana
53.0,3.9,14163.0,68936.0,2279.0,6.7,5.3,83.0,"Noble County, Indiana",18,113,Noble County, Indiana
47.0,4.9,34407.0,72734.0,6364.0,10.0,7.0,130.0,"Clark County, Indiana",18,019,Clark County, Indiana
68.0,3.6,49327.0,99177.0,2740.0,4.6,3.6,289.0,"Hendricks County, Indiana",18,063,Hendricks County, Indiana
11.0,7.2,18663.0,56890.0,4115.0,8.7,13.5,71.0,"Grant County, Indiana",18,053,Grant County, Indiana
0.0,4.3,12823.0,66368.0,2388.0,5.0,11.9,71.0,"Jackson County, Indiana",18,071,Jackson County, Indiana
0.0,5.4,6556.0,60524.0,1407.0,1.1,10.4,38.0,"Owen County, Indiana",18,119,Owen County, Indiana
18.0,3.6,10892.0,77629.0,1047.0,4.3,7.2,64.0,"Whitley County, Indiana",18,183,Whitley County, Indiana
0.0,3.9,9550.0,64131.0,1309.0,4.7,7.2,35.0,"Clinton County, Indiana",18,023,Clinton County, Indiana
0.0,1.5,1976.0,62140.0,433.0,10.6,3.9,0.0,"Union County, Indiana",18,161,Union County, Indiana
24.0,3.7,14658.0,80394.0,1628.0,5.6,5.7,96.0,"Dearborn County, Indiana",18,029,Dearborn County, Indiana
19.0,4.4,13635.0,63859.0,2376.0,6.0,10.6,45.0,"Lawrence County, Indiana",18,093,Lawrence County, Indiana
0.0,3.0,5574.0,64159.0,1089.0,8.6,10.5,24.0,"Perry County, Indiana",18,123,Perry County, Indiana
0.0,4.1,7675.0,78947.0,1353.0,9.1,6.7,11.0,"Posey County, Indiana",18,129,Posey County, Indiana
0.0,3.1,6033.0,71684.0,1623.0,3.5,7.3,13.0,"Carroll County, Indiana",18,015,Carroll County, Indiana
0.0,4.3,5175.0,67826.0,925.0,5.0,8.1,37.0,"Fountain County, Indiana",18,045,Fountain County, Indiana
5.0,5.0,6191.0,64476.0,2616.0,4.0,8.5,11.0,"Starke County, Indiana",18,149,Starke County, Indiana
22.0,4.8,9147.0,62184.0,2483.0,6.6,11.1,60.0,"Greene County, Indiana",18,055,Greene County, Indiana
0.0,3.0,7980.0,81983.0,838.0,3.6,6.2,26.0,"Benton County, Iowa",19,011,Benton County, Iowa
80.0,3.9,30240.0,81377.0,3089.0,9.2,6.8,180.0,"Dubuque County, Iowa",19,061,Dubuque County, Iowa
6.0,3.3,2452.0,65405.0,512.0,10.8,6.3,19.0,"Pocahontas County, Iowa",19,151,Pocahontas County, Iowa
0.0,5.2,2050.0,65542.0,752.0,6.7,7.8,15.0,"Van Buren County, Iowa",19,177,Van Buren County, Iowa
0.0,3.9,1130.0,65045.0,408.0,1.4,7.1,18.0,"Adams County, Iowa",19,003,Adams County, Iowa
7.0,1.8,2000.0,64386.0,352.0,6.5,8.6,14.0,"Audubon County, Iowa",19,009,Audubon County, Iowa
0.0,3.0,2458.0,80452.0,421.0,10.1,7.3,16.0,"Davis County, Iowa",19,051,Davis County, Iowa
0.0,2.6,2308.0,78094.0,435.0,14.9,6.2,33.0,"Ida County, Iowa",19,093,Ida County, Iowa
0.0,3.9,2507.0,68736.0,717.0,22.8,5.8,45.0,"Monroe County, Iowa",19,135,Monroe County, Iowa
38.0,2.7,10193.0,82322.0,680.0,4.2,4.0,78.0,"Sioux County, Iowa",19,167,Sioux County, Iowa
24.0,2.3,3027.0,67274.0,926.0,8.6,8.8,2.0,"Calhoun County, Iowa",19,025,Calhoun County, Iowa
27.0,4.0,14475.0,72174.0,3107.0,6.8,7.4,118.0,"Cerro Gordo County, Iowa",19,033,Cerro Gordo County, Iowa
2.0,1.8,5263.0,66964.0,1028.0,8.0,6.2,44.0,"Hardin County, Iowa",19,083,Hardin County, Iowa
9.0,3.4,2724.0,73294.0,513.0,4.0,9.5,26.0,"Lucas County, Iowa",19,117,Lucas County, Iowa
2.0,1.4,2754.0,67392.0,894.0,12.6,3.9,9.0,"Palo Alto County, Iowa",19,147,Palo Alto County, Iowa
3.0,5.5,5760.0,66322.0,630.0,5.1,8.0,8.0,"Henry County, Iowa",19,087,Henry County, Iowa
10.0,3.8,11251.0,71754.0,1724.0,7.8,5.4,46.0,"Jasper County, Iowa",19,099,Jasper County, Iowa
0.0,4.0,5763.0,74234.0,1367.0,4.4,7.5,125.0,"Poweshiek County, Iowa",19,157,Poweshiek County, Iowa
0.0,2.4,5573.0,65784.0,1612.0,7.7,6.4,27.0,"Clayton County, Iowa",19,043,Clayton County, Iowa
16.0,2.3,7420.0,82376.0,738.0,9.2,3.8,57.0,"Bremer County, Iowa",19,017,Bremer County, Iowa
0.0,3.6,3115.0,67627.0,773.0,0.0,8.2,17.0,"Emmet County, Iowa",19,063,Emmet County, Iowa
4.0,2.2,3662.0,70332.0,543.0,5.6,8.1,14.0,"Hancock County, Iowa",19,081,Hancock County, Iowa
0.0,3.7,6076.0,69017.0,1311.0,6.2,8.3,78.0,"Jackson County, Iowa",19,097,Jackson County, Iowa
52.0,6.9,10525.0,63170.0,1991.0,10.4,10.7,36.0,"Lee County, Iowa",19,111,Lee County, Iowa
48.0,3.0,15544.0,93100.0,746.0,1.6,6.1,111.0,"Warren County, Iowa",19,181,Warren County, Iowa
