mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
943.0,2.8,16000.0,90372.0,2149.0,4.3,8.3,67.0,"Autauga County, Alabama",01,001,Autauga County, Alabama
687.0,3.4,64648.0,96027.0,34311.0,39.7,7.0,2357.0,"Baldwin County, Alabama",01,003,Baldwin County, Alabama
0.0,5.8,5595.0,60128.0,2657.0,4.1,20.8,29.0,"Barbour County, Alabama",01,005,Barbour County, Alabama
0.0,8.7,4705.0,65131.0,1830.0,6.6,16.3,43.0,"Bibb County, Alabama",01,007,Bibb County, Alabama
25.0,6.0,14934.0,75954.0,3051.0,7.0,10.2,97.0,"Blount County, Alabama",01,009,Blount County, Alabama
0.0,3.7,2176.0,52269.0,1091.0,4.7,22.1,0.0,"Bullock County, Alabama",01,011,Bullock County, Alabama
4.0,6.8,4784.0,65988.0,2704.0,12.3,17.5,18.0,"Butler County, Alabama",01,013,Butler County, Alabama
374.0,6.9,31223.0,69213.0,8474.0,6.1,12.9,96.0,"Calhoun County, Alabama",01,015,Calhoun County, Alabama
60.0,3.6,9034.0,64377.0,3284.0,7.4,13.8,56.0,"Chambers County, Alabama",01,017,Chambers County, Alabama
0.0,4.0,6175.0,65664.0,4690.0,3.1,12.3,120.0,"Cherokee County, Alabama",01,019,Cherokee County, Alabama
0.0,5.3,11639.0,73650.0,2615.0,2.7,11.2,69.0,"Chilton County, Alabama",01,021,Chilton County, Alabama
0.0,5.2,2934.0,61685.0,1910.0,0.0,15.8,0.0,"Choctaw County, Alabama",01,023,Choctaw County, Alabama
10.0,12.5,5037.0,71413.0,3545.0,3.5,15.4,33.0,"Clarke County, Alabama",01,025,Clarke County, Alabama
33.0,5.7,3441.0,69549.0,1555.0,16.1,14.3,31.0,"Clay County, Alabama",01,027,Clay County, Alabama
0.0,2.6,3611.0,71645.0,1057.0,13.7,7.1,29.0,"Cleburne County, Alabama",01,029,Cleburne County, Alabama
1502.0,4.8,14899.0,78477.0,3792.0,11.5,12.3,52.0,"Coffee County, Alabama",01,031,Coffee County, Alabama
54.0,3.4,15553.0,71460.0,4443.0,4.6,11.9,174.0,"Colbert County, Alabama",01,033,Colbert County, Alabama
0.0,4.4,2207.0,56230.0,1998.0,12.3,11.6,0.0,"Conecuh County, Alabama",01,035,Conecuh County, Alabama
50.0,4.4,2708.0,69810.0,2046.0,3.7,8.0,16.0,"Coosa County, Alabama",01,037,Coosa County, Alabama
34.0,5.5,8997.0,69704.0,4450.0,3.7,13.9,44.0,"Covington County, Alabama",01,039,Covington County, Alabama
28.0,6.1,3128.0,78621.0,1714.0,9.2,7.6,9.0,"Crenshaw County, Alabama",01,041,Crenshaw County, Alabama
2.0,4.3,24223.0,75873.0,5533.0,5.0,9.6,284.0,"Cullman County, Alabama",01,043,Cullman County, Alabama
2228.0,7.8,13577.0,67432.0,3429.0,9.6,13.7,49.0,"Dale County, Alabama",01,045,Dale County, Alabama
0.0,9.1,8912.0,53213.0,4239.0,5.9,21.7,0.0,"Dallas County, Alabama",01,047,Dallas County, Alabama
39.0,3.9,17804.0,64545.0,5026.0,5.7,14.9,101.0,"DeKalb County, Alabama",01,049,DeKalb County, Alabama
562.0,4.2,24490.0,90524.0,4603.0,8.6,8.1,190.0,"Elmore County, Alabama",01,051,Elmore County, Alabama
0.0,9.2,8122.0,55542.0,3693.0,3.1,16.2,41.0,"Escambia County, Alabama",01,053,Escambia County, Alabama
19.0,6.0,26717.0,69693.0,8621.0,5.7,11.5,128.0,"Etowah County, Alabama",01,055,Etowah County, Alabama
4.0,9.6,3919.0,66681.0,1673.0,11.1,15.9,61.0,"Fayette County, Alabama",01,057,Fayette County, Alabama
0.0,3.8,7519.0,63747.0,2701.0,5.6,13.8,18.0,"Franklin County, Alabama",01,059,Franklin County, Alabama
55.0,3.9,6894.0,63491.0,2103.0,5.9,14.3,38.0,"Geneva County, Alabama",01,061,Geneva County, Alabama
0.0,4.5,1405.0,48095.0,1399.0,1.8,26.7,9.0,"Greene County, Alabama",01,063,Greene County, Alabama
19.0,7.6,3017.0,59052.0,2061.0,1.5,16.6,41.0,"Hale County, Alabama",01,065,Hale County, Alabama
6.0,5.3,4285.0,73705.0,2424.0,12.2,11.8,8.0,"Henry County, Alabama",01,067,Henry County, Alabama
247.0,5.0,29664.0,78415.0,7796.0,10.2,13.0,224.0,"Houston County, Alabama",01,069,Houston County, Alabama
3.0,6.0,13412.0,65829.0,4036.0,2.0,14.6,82.0,"Jackson County, Alabama",01,071,Jackson County, Alabama
617.0,5.4,201523.0,93745.0,42634.0,7.9,11.0,4959.0,"Jefferson County, Alabama",01,073,Jefferson County, Alabama
9.0,5.0,3278.0,62422.0,1936.0,18.6,9.1,0.0,"Lamar County, Alabama",01,075,Lamar County, Alabama
70.0,3.6,26724.0,76624.0,6468.0,4.7,9.5,248.0,"Lauderdale County, Alabama",01,077,Lauderdale County, Alabama
12.0,3.0,8534.0,72948.0,2441.0,2.6,10.9,46.0,"Lawrence County, Alabama",01,079,Lawrence County, Alabama
683.0,3.8,50455.0,84719.0,10307.0,8.3,9.8,386.0,"Lee County, Alabama",01,081,Lee County, Alabama
51.0,4.1,30040.0,99315.0,4044.0,8.0,7.5,287.0,"Limestone County, Alabama",01,083,Limestone County, Alabama
7.0,7.5,2368.0,55548.0,822.0,3.7,20.3,0.0,"Lowndes County, Alabama",01,085,Lowndes County, Alabama
89.0,12.5,4685.0,57338.0,2531.0,5.6,20.2,37.0,"Macon County, Alabama",01,087,Macon County, Alabama
988.0,4.2,126153.0,107154.0,11744.0,4.6,7.7,1509.0,"Madison County, Alabama",01,089,Madison County, Alabama
0.0,2.8,4472.0,65484.0,2455.0,3.5,12.5,14.0,"Marengo County, Alabama",01,091,Marengo County, Alabama
19.0,6.5,7344.0,62389.0,3125.0,12.1,11.3,5.0,"Marion County, Alabama",01,093,Marion County, Alabama
106.0,3.8,25466.0,77500.0,5398.0,4.1,12.3,153.0,"Marshall County, Alabama",01,095,Marshall County, Alabama
1005.0,5.9,115853.0,75532.0,25240.0,4.7,12.6,820.0,"Mobile County, Alabama",01,097,Mobile County, Alabama
78.0,12.2,3971.0,57487.0,2916.0,6.2,16.4,13.0,"Monroe County, Alabama",01,099,Monroe County, Alabama
2216.0,6.8,67487.0,79962.0,15767.0,7.8,16.3,446.0,"Montgomery County, Alabama",01,101,Montgomery County, Alabama
32.0,4.2,33953.0,82600.0,5320.0,4.9,10.7,224.0,"Morgan County, Alabama",01,103,Morgan County, Alabama
9.0,15.7,1638.0,41226.0,910.0,13.2,29.3,0.0,"Perry County, Alabama",01,105,Perry County, Alabama
30.0,5.3,4452.0,66279.0,1631.0,2.6,15.8,45.0,"Pickens County, Alabama",01,107,Pickens County, Alabama
25.0,4.9,8703.0,67849.0,4053.0,19.7,10.4,19.0,"Pike County, Alabama",01,109,Pike County, Alabama
3.0,3.2,5697.0,67742.0,3683.0,15.3,16.2,115.0,"Randolph County, Alabama",01,111,Randolph County, Alabama
1429.0,6.5,16669.0,62441.0,3920.0,11.5,16.2,120.0,"Russell County, Alabama",01,113,Russell County, Alabama
153.0,4.3,24854.0,88263.0,4295.0,1.4,8.2,108.0,"St. Clair County, Alabama",01,115,St. Clair County, Alabama
308.0,3.1,67066.0,118066.0,5836.0,6.5,4.7,1069.0,"Shelby County, Alabama",01,117,Shelby County, Alabama
