fips,% active duty,% unemployed,Yearly Income
01015,,0.05159705159705159,26218.44626474443
01047,,,5000.0
01073,0.0005268703898840885,0.044444444444444446,38666.722095238096
01089,0.004347826086956522,0.029556650246305417,44131.07708553326
01115,,,27499.5
01125,,0.04285714285714286,30314.622587968217
02020,0.03260985779963648,0.06570550697234696,50019.21160890392
02090,,,29374.5
02100,,,22499.5
02150,,,37499.5
02170,,,11249.5
02290,,,8749.5
04013,0.0007015082427218519,0.03956995669702852,40082.36679322892
04019,0.002126014688828759,0.042222222222222223,31953.205599036726
04021,0.006451612903225807,0.08333333333333333,29268.241791044777
04023,,,75000.0
04025,0.00234192037470726,0.06883365200764818,30918.21594068582
04027,0.05279999999999999,0.08501118568232663,24369.874067937035
05007,,1.0,44999.5
05031,,0.3333333333333333,8749.5
05033,,,5000.0
05051,,,8749.5
05109,,1.0,13749.5
05115,,,
05143,,,75000.0
06001,0.001418942887548776,0.046085011185682326,46423.456743335075
06007,,0.13172541743970315,28295.698735320686
06013,0.0031572904707233064,0.030534351145038163,55615.44398148148
06017,0.0031397174254317113,0.04291845493562232,49231.71143617021
06029,0.0012583892617449664,0.07612456747404844,33989.53513112321
06037,0.00023699677684383493,0.05743753144390408,37301.31433843842
06041,0.0006414368184733803,0.025757575757575757,61357.79255774166
06047,,0.11563517915309446,30088.38617265088
06053,0.03608247422680412,0.0774818401937046,28927.08648339061
06059,0.0006350358341649278,0.037914691943127965,47173.08248023844
06061,,0.02631578947368421,47978.80694444444
06067,0.00042716787697565144,0.0686046511627907,38390.03463399879
06071,,,22499.5
06073,0.011245983577293823,0.051354534746760896,39030.18689036286
06075,,0.04211187932118165,43177.84423856399
06077,0.0016120365394948952,0.07745504840940526,35064.819068596604
06079,0.0005941770647653001,0.029411764705882353,41654.579185520364
06081,,0.04915254237288136,49083.89025085519
06083,,0.06818181818181818,36481.357644991214
06085,,0.03496266123557366,50523.89817568907
06095,,,54999.5
06097,,0.03278688524590164,40111.560057197334
06099,,0.07434402332361516,35808.524605385326
06101,,,22499.5
06107,0.0012507817385866166,0.13,24450.799501867994
06111,0.002565982404692082,0.03663003663003663,48228.195959595956
06113,,0.029787234042553193,53228.20466321243
08005,0.0032596885186526622,0.03298611111111111,49028.00266382525
08013,,0.03522012578616352,47674.5805393586
08031,0.0005201560468140442,0.04561161022805805,35829.16542239686
08037,,,32499.5
08041,0.043333333333333335,0.042687747035573126,40711.50936628139
08059,0.00021593608291945585,0.018435475834578975,53970.52588344699
08069,,0.035668789808917196,45296.90503715937
08077,,,22499.5
08087,,,11249.5
08101,,0.04054054054054054,31658.63511972634
08123,,0.037168141592920347,32995.49032258065
09001,,,49582.833333333336
09003,,,29444.333333333332
09009,,,44999.5
10001,0.005326231691078562,0.034482758620689655,36601.46614139694
10003,0.00045276184726833685,0.039863096436480776,46969.959093809826
10005,0.0002671653753673524,0.03545051698670606,38356.98685939553
11001,0.0008267024904412525,0.0707787201233616,36129.58620689655
12001,0.0008688097306689834,0.04199475065616798,30045.033911671926
12005,0.004191114836546521,0.025404157043879907,32889.2950310559
12009,0.0017070672584499828,0.04497907949790795,36415.74438202247
12011,0.00042207449614857024,0.044755998921542195,42189.04137678506
12015,,0.05945945945945946,41186.239445114596
12019,,,25636.87623762376
12021,0.002616088947024199,0.03767123287671233,39906.32680151707
12031,,,7083.25
12033,,,27499.5
12053,,0.043731778425655975,29674.088117489988
12057,0.0033488372093023254,0.05250709555345317,35961.327494692145
12069,,0.06086956521739131,34753.9582111437
12071,,0.030751708428246014,29205.27942857143
12073,,,6249.5
12081,,0.025390625,37409.91209563994
12083,,0.06365503080082136,30672.28326810176
12087,,,67499.5
12091,0.02654867256637168,0.0423728813559322,40010.60276243094
12095,0.0012048192771084338,0.035015447991761074,36285.41748964638
12097,,0.017006802721088437,45579.23185483871
12099,,0.04875717017208413,40121.189934640526
12101,,0.040280210157618214,34725.68030690537
12103,0.000488599348534202,0.051220679751077074,34388.883589227284
12105,,0.04161849710982659,31715.865732632807
12111,,,54999.5
12115,,0.037037037037037035,42464.0851979346
12117,0.002872384078785392,0.022,43431.30452292441
12127,,,21874.5
13055,,,27499.5
13063,0.004995004995004995,0.038461538461538464,36360.900862068964
13067,0.0013315579227696406,0.019230769230769232,51679.22185648453
13089,0.0006709158000670916,0.049166666666666664,40557.58927655208
13121,0.00032562683165092806,0.04557179707652623,35294.313225643615
13135,,0.014059753954305799,53626.066367001586
15001,,,27499.5
15003,0.024372426617080622,0.0514876180295742,44468.42947269303
16001,,,18332.833333333332
16011,,,
16027,,,27499.5
16041,,,17499.5
16055,,,9374.75
16057,,0.5,5000.0
16079,,,32499.5
16083,,,6249.833333333333
16085,,,17499.5
17031,,,35191.92307692308
17043,,,39166.166666666664
17089,,,
17097,,,18124.5
17099,,0.0352,38811.61652340019
17107,,0.6666666666666666,32499.5
17111,,,17499.5
17115,0.002082248828735034,0.007462686567164179,45202.782868525894
17119,,,20832.833333333332
17161,,,27499.5
17197,,,54999.5
18003,,,32499.5
18037,,,44999.5
18057,,0.0074074074074074086,64165.891304347824
18075,,0.3333333333333333,20780.75
18089,,0.048929663608562685,36392.57777777778
18091,,0.033950617283950615,41341.404569892475
18097,,,42499.5
18099,,,54583.166666666664
18127,,0.020491803278688523,46536.69369369369
18135,,,15624.5
18141,0.00202020202020202,0.01715686274509804,39331.04714064915
18145,,,67499.5
19013,,0.022364217252396165,37953.91826086956
19113,0.0024752475247524753,0.040995607613469986,41208.260226283724
19115,,,8749.5
19153,,,17499.5
19155,,0.3333333333333333,22499.5
19163,,0.056105610561056105,40309.06213307241
19181,,,
20051,,,27499.5
20061,1.0,,27499.5
20091,,,37499.5
20149,,,54999.5
20173,,,75000.0
20177,0.0023790642347343376,0.030634573304157548,42689.31313703284
20209,,0.2,34807.192307692305
21067,,,6249.5
21093,,,
21111,,,17499.5
21117,,0.02608695652173913,39858.92401392111
22019,,0.07326007326007326,34450.217741935485
22033,0.0013893713094824591,0.05369718309859155,34609.52152988855
22035,,,13749.5
22051,0.0023018743834265043,0.0353045013239188,38607.103494623654
22055,,,27499.5
