mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
1.0,6.7,3348.0,51984.0,1575.0,13.0,10.0,72400.0,"Linn County, Missouri",29,115,Linn County, Missouri
18.0,8.1,10426.0,43858.0,2388.0,9.1,16.7,101100.0,"Howell County, Missouri",29,091,Howell County, Missouri
2848.0,7.9,16700.0,56022.0,1764.0,7.2,9.2,137100.0,"Johnson County, Missouri",29,101,Johnson County, Missouri
88.0,9.3,10606.0,49218.0,1600.0,8.4,14.7,92300.0,"Laclede County, Missouri",29,105,Laclede County, Missouri
20.0,10.1,2623.0,52592.0,894.0,8.1,10.2,118600.0,"Maries County, Missouri",29,125,Maries County, Missouri
151.0,7.9,12621.0,52762.0,2947.0,10.7,11.6,110400.0,"Phelps County, Missouri",29,161,Phelps County, Missouri
433.0,6.1,30602.0,85686.0,2995.0,10.1,4.9,185600.0,"Platte County, Missouri",29,165,Platte County, Missouri
45.0,9.9,17488.0,49318.0,3863.0,4.7,14.0,100000.0,"St. Francois County, Missouri",29,187,St. Francois County, Missouri
170.0,14.2,105654.0,49735.0,36015.0,9.7,21.6,121700.0,"St. Louis city, Missouri",29,510,St. Louis city, Missouri
45.0,5.9,5279.0,65956.0,587.0,0.6,5.4,130300.0,"Andrew County, Missouri",29,003,Andrew County, Missouri
25.0,8.0,12166.0,47501.0,2644.0,4.9,16.1,88300.0,"Butler County, Missouri",29,023,Butler County, Missouri
15.0,6.9,2632.0,60560.0,991.0,13.1,7.3,79700.0,"Carroll County, Missouri",29,033,Carroll County, Missouri
2.0,6.4,2245.0,53679.0,1118.0,10.8,10.6,107900.0,"Daviess County, Missouri",29,061,Daviess County, Missouri
3.0,4.7,1669.0,51718.0,574.0,3.2,9.6,78900.0,"Holt County, Missouri",29,087,Holt County, Missouri
21.0,6.2,8570.0,56173.0,1655.0,6.7,10.9,102000.0,"Marion County, Missouri",29,127,Marion County, Missouri
15.0,3.5,4135.0,58261.0,1320.0,8.7,7.1,122000.0,"Osage County, Missouri",29,151,Osage County, Missouri
10.0,13.5,3780.0,38523.0,1145.0,2.4,20.9,72500.0,"Ripley County, Missouri",29,181,Ripley County, Missouri
11.0,10.8,9830.0,62996.0,2048.0,0.7,11.0,153100.0,"Warren County, Missouri",29,219,Warren County, Missouri
0.0,13.7,6360.0,46339.0,1732.0,3.8,17.6,75400.0,"Washington County, Missouri",29,221,Washington County, Missouri
90.0,7.0,23921.0,65946.0,2245.0,8.6,7.7,145000.0,"Christian County, Missouri",29,043,Christian County, Missouri
11.0,6.8,2798.0,51931.0,495.0,2.6,6.2,111300.0,"DeKalb County, Missouri",29,063,DeKalb County, Missouri
0.0,8.4,2661.0,47330.0,796.0,10.5,10.3,73000.0,"Harrison County, Missouri",29,081,Harrison County, Missouri
27.0,6.0,10281.0,59408.0,1443.0,10.2,8.1,119600.0,"Lafayette County, Missouri",29,107,Lafayette County, Missouri
0.0,7.1,7452.0,47226.0,1664.0,9.5,11.3,99300.0,"Adair County, Missouri",29,001,Adair County, Missouri
0.0,2.6,1511.0,51847.0,400.0,4.9,15.2,74400.0,"Scotland County, Missouri",29,199,Scotland County, Missouri
11.0,6.7,1890.0,42748.0,735.0,5.5,11.4,70800.0,"Sullivan County, Missouri",29,211,Sullivan County, Missouri
18.0,5.1,1987.0,47087.0,691.0,6.4,9.3,67800.0,"Clark County, Missouri",29,045,Clark County, Missouri
64.0,8.7,34663.0,52505.0,5613.0,6.7,14.6,97200.0,"Jasper County, Missouri",29,097,Jasper County, Missouri
3.0,7.8,3087.0,49826.0,660.0,12.1,8.7,80100.0,"Lewis County, Missouri",29,111,Lewis County, Missouri
24.0,8.5,5962.0,46244.0,1662.0,6.3,16.2,86100.0,"McDonald County, Missouri",29,119,McDonald County, Missouri
