fips,% active duty,% unemployed,Yearly Income
01003,0.0035294117647058825,0.021148036253776436,37962.00366300366
01015,0.008971704623878536,0.06912442396313365,31441.387421383646
01073,0.0020340706839562673,0.04008438818565401,41505.49630905512
01089,,0.04716981132075472,43204.125757575755
01097,0.008217446270543615,0.047186932849364795,34408.76203501094
01117,0.0024125452352231603,0.031545741324921134,51520.526109660575
01125,,0.04697986577181208,36786.55573770492
02020,0.015778505507591543,0.050451807228915665,43669.4103362391
04003,0.00598802395209581,0.08571428571428572,32782.52916666667
04013,0.0014545454545454545,0.03434516175003563,42713.19440600909
04015,0.0019230769230769232,0.05084745762711865,33622.39443378119
04019,0.003395585738539898,0.0663659793814433,33540.47127272727
04021,,0.059782608695652176,39061.601644245144
04025,,0.023255813953488372,34041.91271186441
05119,0.008035062089116142,0.04299065420560748,38383.56009783368
06001,0.00026624068157614486,0.051473078225533354,44841.13710380925
06007,0.003110419906687403,0.0408997955010225,40067.279914529914
06013,,0.0593607305936073,50235.71296296296
06017,,0.015151515151515152,42714.16831683168
06019,0.0003281916639317361,0.08026440037771483,34986.63495575221
06025,0.003194888178913738,0.031914893617021274,31925.11755725191
06029,0.007593457943925234,0.08294209702660407,42915.752300920365
06037,0.0010985279725168275,0.047493118894705595,38997.7374986382
06039,,0.06406685236768803,36282.44210526316
06041,,0.014492753623188404,50295.68421052631
06047,,0.07142857142857142,42473.33808095952
06053,0.012877939529675253,0.07270029673590504,39328.52290836653
06055,,0.05325443786982249,44609.530712530715
06059,0.0002772387025228722,0.03456703910614525,44426.368847539015
06061,,0.03431372549019608,55771.879452054796
06065,0.003225806451612903,0.044226044226044224,43275.983006386865
06067,0.0018564356435643563,0.05537459283387622,42023.46597083214
06071,0.0006235385814497272,0.059358752166377815,39924.85183795949
06073,0.010647482014388488,0.031614305473226634,43645.56642898719
06075,,0.0625,43695.83657786885
06077,,0.06070287539936102,44587.88392857143
06079,,0.02702702702702703,39871.1590538336
06081,,0.042837078651685394,47329.429480901075
06083,,0.09794628751974725,34819.05247691016
06085,,0.05155746509129968,44589.792124542124
06087,0.0034153005464480873,0.029411764705882353,41885.65339233039
06095,0.0006142506142506142,0.043706293706293704,45204.84104046243
06097,,0.053227633069082674,47150.598984771575
06099,,0.03275109170305677,43493.039596832255
