mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
3.0,2.6,3658.0,67310.0,515.0,4.0,11.0,108400.0,"Cheyenne County, Nebraska",31,033,Cheyenne County, Nebraska
0.0,5.8,7170.0,56361.0,1404.0,6.2,10.6,89700.0,"Dawson County, Nebraska",31,047,Dawson County, Nebraska
0.0,4.9,647.0,48389.0,301.0,4.3,5.3,84800.0,"Garfield County, Nebraska",31,071,Garfield County, Nebraska
0.0,1.5,143.0,62027.0,56.0,18.1,11.8,132700.0,"McPherson County, Nebraska",31,117,McPherson County, Nebraska
0.0,3.5,1183.0,59434.0,272.0,5.4,7.0,71000.0,"Nance County, Nebraska",31,125,Nance County, Nebraska
0.0,2.6,1903.0,71359.0,312.0,4.3,8.7,101200.0,"Stanton County, Nebraska",31,167,Stanton County, Nebraska
0.0,1.2,1453.0,54741.0,369.0,6.5,10.3,77600.0,"Valley County, Nebraska",31,175,Valley County, Nebraska
724.0,12.9,7121.0,58398.0,1328.0,8.3,12.7,144900.0,"Churchill County, Nevada",32,001,Churchill County, Nevada
150.0,9.5,14029.0,79596.0,3912.0,3.3,8.1,267200.0,"Douglas County, Nevada",32,005,Douglas County, Nevada
4.0,11.5,1619.0,60745.0,318.0,5.8,16.8,119900.0,"Pershing County, Nevada",32,027,Pershing County, Nevada
0.0,4.0,639.0,71378.0,357.0,6.5,8.7,89300.0,"Eureka County, Nevada",32,011,Eureka County, Nevada
9.0,10.0,5232.0,71421.0,1073.0,8.1,8.0,152900.0,"Humboldt County, Nevada",32,013,Humboldt County, Nevada
0.0,10.6,2428.0,70589.0,1097.0,4.8,5.1,120700.0,"White Pine County, Nevada",32,033,White Pine County, Nevada
8.0,5.3,15427.0,83733.0,2352.0,7.2,7.0,183900.0,"Elko County, Nevada",32,007,Elko County, Nevada
0.0,15.3,10883.0,54697.0,4248.0,6.0,13.3,102300.0,"Nye County, Nevada",32,023,Nye County, Nevada
0.0,13.0,1366.0,78112.0,173.0,0.0,5.3,181300.0,"Storey County, Nevada",32,029,Storey County, Nevada
