mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
927.0,-888888888.0,15851.0,79498.0,2314.0,4.2,25029.0,14.0,"Autauga County, Alabama",01,001,Autauga County, Alabama
512.0,-888888888.0,61928.0,87709.0,34573.0,45.2,97467.0,1493.0,"Baldwin County, Alabama",01,003,Baldwin County, Alabama
0.0,-888888888.0,5834.0,55066.0,2579.0,3.4,8501.0,31.0,"Barbour County, Alabama",01,005,Barbour County, Alabama
0.0,-888888888.0,4636.0,67396.0,1930.0,3.2,8503.0,69.0,"Bibb County, Alabama",01,007,Bibb County, Alabama
46.0,-888888888.0,14787.0,71849.0,3227.0,8.5,23635.0,103.0,"Blount County, Alabama",01,009,Blount County, Alabama
0.0,-888888888.0,1983.0,46257.0,1103.0,4.8,3558.0,0.0,"Bullock County, Alabama",01,011,Bullock County, Alabama
3.0,-888888888.0,4438.0,63862.0,3311.0,23.4,7474.0,10.0,"Butler County, Alabama",01,013,Butler County, Alabama
372.0,-888888888.0,31025.0,65287.0,8817.0,6.5,48086.0,89.0,"Calhoun County, Alabama",01,015,Calhoun County, Alabama
0.0,-888888888.0,9281.0,59993.0,3310.0,6.2,14725.0,60.0,"Chambers County, Alabama",01,017,Chambers County, Alabama
0.0,-888888888.0,5950.0,63492.0,5042.0,7.5,9504.0,144.0,"Cherokee County, Alabama",01,019,Cherokee County, Alabama
0.0,-888888888.0,11319.0,68497.0,2845.0,4.0,17797.0,147.0,"Chilton County, Alabama",01,021,Chilton County, Alabama
0.0,-888888888.0,2867.0,57529.0,1921.0,0.0,4422.0,0.0,"Choctaw County, Alabama",01,023,Choctaw County, Alabama
13.0,-888888888.0,5127.0,64589.0,3538.0,3.6,8166.0,3.0,"Clarke County, Alabama",01,025,Clarke County, Alabama
19.0,-888888888.0,3471.0,65502.0,1610.0,14.3,5435.0,28.0,"Clay County, Alabama",01,027,Clay County, Alabama
0.0,-888888888.0,3466.0,67904.0,1194.0,14.6,5692.0,10.0,"Cleburne County, Alabama",01,029,Cleburne County, Alabama
1500.0,-888888888.0,14975.0,74955.0,3456.0,8.8,20804.0,22.0,"Coffee County, Alabama",01,031,Coffee County, Alabama
57.0,-888888888.0,15230.0,65278.0,4856.0,7.3,23746.0,160.0,"Colbert County, Alabama",01,033,Colbert County, Alabama
0.0,-888888888.0,2158.0,53737.0,2282.0,20.9,3868.0,0.0,"Conecuh County, Alabama",01,035,Conecuh County, Alabama
38.0,-888888888.0,2656.0,66585.0,2240.0,3.3,3871.0,8.0,"Coosa County, Alabama",01,037,Coosa County, Alabama
28.0,-888888888.0,9074.0,63948.0,4331.0,4.3,14953.0,21.0,"Covington County, Alabama",01,039,Covington County, Alabama
