mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
10651.0,12.0,58570.0,43918.0,25507.0,12.5,13.4,130100.0,"Escambia County, Florida",12,033,Escambia County, Florida
56.0,17.2,50957.0,41024.0,14106.0,6.1,12.1,117400.0,"Hernando County, Florida",12,053,Hernando County, Florida
5524.0,11.0,69525.0,49596.0,68186.0,9.4,12.5,160000.0,"Hillsborough County, Florida",12,057,Hillsborough County, Florida
8296.0,8.8,70388.0,54684.0,19712.0,16.8,10.3,182100.0,"Okaloosa County, Florida",12,091,Okaloosa County, Florida
0.0,13.2,47769.0,36356.0,3242.0,12.4,11.1,87400.0,"Taylor County, Florida",12,123,Taylor County, Florida
12.0,10.5,61632.0,52691.0,2324.0,4.9,11.5,138300.0,"Wakulla County, Florida",12,129,Wakulla County, Florida
178.0,13.2,54431.0,43775.0,1890.0,5.6,10.1,165900.0,"Lumpkin County, Georgia",13,187,Lumpkin County, Georgia
7.0,11.2,46708.0,37487.0,1131.0,10.0,18.6,106100.0,"McDuffie County, Georgia",13,189,McDuffie County, Georgia
0.0,9.7,45795.0,32260.0,313.0,7.4,18.6,83200.0,"Miller County, Georgia",13,201,Miller County, Georgia
31.0,8.2,68867.0,47729.0,965.0,6.6,12.2,175700.0,"Morgan County, Georgia",13,211,Morgan County, Georgia
0.0,13.3,49727.0,39909.0,783.0,8.6,21.7,93200.0,"Heard County, Georgia",13,149,Heard County, Georgia
41.0,6.3,95213.0,75004.0,995.0,5.3,7.0,238200.0,"Oconee County, Georgia",13,219,Oconee County, Georgia
370.0,17.0,47137.0,31671.0,5078.0,8.5,26.0,101700.0,"Dougherty County, Georgia",13,095,Dougherty County, Georgia
0.0,15.0,45059.0,34239.0,6338.0,13.6,17.9,161300.0,"Fannin County, Georgia",13,111,Fannin County, Georgia
795.0,11.6,72845.0,60781.0,7357.0,9.4,8.9,147500.0,"Henry County, Georgia",13,151,Henry County, Georgia
