mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
3.0,9.1,45030.0,30581.0,1254.0,2.6,20.7,89800.0,"Wright County, Missouri",29,229,Wright County, Missouri
180.0,5.2,78171.0,63702.0,6718.0,7.5,6.7,156600.0,"Clay County, Missouri",29,047,Clay County, Missouri
4.0,8.1,50482.0,38020.0,1353.0,7.3,15.6,100300.0,"Dent County, Missouri",29,065,Dent County, Missouri
0.0,4.8,51159.0,40645.0,1305.0,4.1,11.8,92800.0,"Saline County, Missouri",29,195,Saline County, Missouri
3.0,4.2,53541.0,44974.0,356.0,8.1,7.7,58900.0,"Worth County, Missouri",29,227,Worth County, Missouri
0.0,4.5,51190.0,40187.0,939.0,11.9,15.0,83300.0,"Grundy County, Missouri",29,079,Grundy County, Missouri
6.0,9.5,47400.0,32807.0,7532.0,4.5,18.6,111900.0,"Morgan County, Missouri",29,141,Morgan County, Missouri
0.0,8.8,49549.0,36736.0,1349.0,5.2,13.4,82200.0,"Reynolds County, Missouri",29,179,Reynolds County, Missouri
207.0,6.7,89329.0,61103.0,36821.0,7.4,7.4,176000.0,"St. Louis County, Missouri",29,189,St. Louis County, Missouri
3.0,8.2,55635.0,41944.0,7886.0,6.6,8.7,155500.0,"Stone County, Missouri",29,209,Stone County, Missouri
0.0,10.7,49277.0,37869.0,4166.0,4.9,15.8,112900.0,"Barry County, Missouri",29,009,Barry County, Missouri
184.0,4.6,68998.0,50813.0,5442.0,3.5,9.3,171400.0,"Boone County, Missouri",29,019,Boone County, Missouri
99.0,5.0,67570.0,54130.0,3144.0,4.7,8.5,150700.0,"Cole County, Missouri",29,051,Cole County, Missouri
0.0,11.9,51515.0,36983.0,2641.0,4.5,17.9,116500.0,"Crawford County, Missouri",29,055,Crawford County, Missouri
0.0,10.3,46671.0,36354.0,1226.0,6.8,15.4,81800.0,"Iron County, Missouri",29,093,Iron County, Missouri
6.0,4.3,58921.0,44266.0,1002.0,3.4,13.6,106800.0,"Livingston County, Missouri",29,117,Livingston County, Missouri
14.0,4.6,59656.0,48974.0,649.0,7.2,8.8,116400.0,"Moniteau County, Missouri",29,135,Moniteau County, Missouri
0.0,11.1,43809.0,31671.0,1184.0,5.8,21.8,70400.0,"Pemiscot County, Missouri",29,155,Pemiscot County, Missouri
143.0,6.5,52549.0,40467.0,2200.0,6.7,12.8,104800.0,"Pettis County, Missouri",29,159,Pettis County, Missouri
0.0,8.4,46344.0,32284.0,951.0,2.6,16.5,90400.0,"Shannon County, Missouri",29,203,Shannon County, Missouri
0.0,7.5,51713.0,40638.0,2194.0,3.8,13.1,89300.0,"Randolph County, Missouri",29,175,Randolph County, Missouri
14.0,7.9,43630.0,31220.0,1670.0,6.1,20.3,68500.0,"Dunklin County, Missouri",29,069,Dunklin County, Missouri
10.0,5.9,65871.0,50895.0,3765.0,6.1,8.9,152700.0,"Franklin County, Missouri",29,071,Franklin County, Missouri
1.0,4.6,57259.0,45762.0,783.0,6.7,12.0,107600.0,"Howard County, Missouri",29,089,Howard County, Missouri
