mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
0.0,-888888888.0,14317.0,81114.0,2018.0,6.6,-888888888.0,180300.0,"Sweetwater County, Wyoming",56,037,Sweetwater County, Wyoming
42.0,-888888888.0,2765.0,56638.0,1018.0,7.2,-888888888.0,136100.0,"Platte County, Wyoming",56,031,Platte County, Wyoming
32.0,-888888888.0,9775.0,63469.0,1547.0,6.2,-888888888.0,224900.0,"Sheridan County, Wyoming",56,033,Sheridan County, Wyoming
9.0,-888888888.0,3544.0,63740.0,748.0,4.8,-888888888.0,120400.0,"Big Horn County, Wyoming",56,003,Big Horn County, Wyoming
0.0,-888888888.0,2362.0,60383.0,669.0,0.9,-888888888.0,156300.0,"Crook County, Wyoming",56,011,Crook County, Wyoming
0.0,-888888888.0,9205.0,64607.0,1570.0,4.4,-888888888.0,203000.0,"Park County, Wyoming",56,029,Park County, Wyoming
42.0,-888888888.0,12945.0,61258.0,3126.0,7.2,-888888888.0,194900.0,"Albany County, Wyoming",56,001,Albany County, Wyoming
0.0,-888888888.0,5386.0,69713.0,2329.0,10.9,-888888888.0,139200.0,"Carbon County, Wyoming",56,007,Carbon County, Wyoming
6.0,-888888888.0,4271.0,55314.0,693.0,4.6,-888888888.0,132400.0,"Goshen County, Wyoming",56,015,Goshen County, Wyoming
0.0,-888888888.0,6356.0,70310.0,1388.0,12.8,-888888888.0,178300.0,"Uinta County, Wyoming",56,041,Uinta County, Wyoming
0.0,-888888888.0,2797.0,69381.0,354.0,2.5,-888888888.0,148400.0,"Washakie County, Wyoming",56,043,Washakie County, Wyoming
0.0,-888888888.0,1511.0,52228.0,429.0,3.5,-888888888.0,136000.0,"Hot Springs County, Wyoming",56,017,Hot Springs County, Wyoming
23.0,-888888888.0,12548.0,60692.0,2068.0,6.7,-888888888.0,166500.0,"Fremont County, Wyoming",56,013,Fremont County, Wyoming
18.0,-888888888.0,3137.0,88958.0,2010.0,6.0,-888888888.0,287100.0,"Sublette County, Wyoming",56,035,Sublette County, Wyoming
0.0,-888888888.0,2335.0,68155.0,562.0,0.0,-888888888.0,139800.0,"Weston County, Wyoming",56,045,Weston County, Wyoming
18.0,-888888888.0,3508.0,21248.0,1741.0,5.2,-888888888.0,80000.0,"Guayanilla Municipio, Puerto Rico",72,059,Guayanilla Municipio, Puerto Rico
41.0,-888888888.0,7633.0,27476.0,2389.0,9.1,-888888888.0,114900.0,"Juncos Municipio, Puerto Rico",72,077,Juncos Municipio, Puerto Rico
