mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
16.0,4.7,58298.0,50181.0,498.0,3.8,8.3,145300.0,"Jefferson County, Idaho",16,051,Jefferson County, Idaho
13.0,2.9,49304.0,40322.0,663.0,4.7,8.9,130600.0,"Jerome County, Idaho",16,053,Jerome County, Idaho
12.0,6.6,59238.0,45446.0,6212.0,3.5,8.4,213000.0,"Kootenai County, Idaho",16,055,Kootenai County, Idaho
29.0,7.6,48604.0,36448.0,1050.0,5.4,9.4,173200.0,"Latah County, Idaho",16,057,Latah County, Idaho
0.0,6.0,47745.0,38750.0,1136.0,8.5,10.2,171400.0,"Lemhi County, Idaho",16,059,Lemhi County, Idaho
0.0,6.1,42586.0,36000.0,232.0,3.5,9.7,109700.0,"Lewis County, Idaho",16,061,Lewis County, Idaho
0.0,2.9,51884.0,45903.0,294.0,10.4,11.6,116300.0,"Lincoln County, Idaho",16,063,Lincoln County, Idaho
15.0,7.7,48752.0,35511.0,977.0,2.7,22.5,162800.0,"Madison County, Idaho",16,065,Madison County, Idaho
0.0,6.4,47906.0,40344.0,920.0,9.8,8.6,96800.0,"Minidoka County, Idaho",16,067,Minidoka County, Idaho
0.0,7.3,54770.0,42919.0,1007.0,3.0,11.2,147600.0,"Nez Perce County, Idaho",16,069,Nez Perce County, Idaho
0.0,3.8,48057.0,43912.0,276.0,4.7,11.5,120900.0,"Oneida County, Idaho",16,071,Oneida County, Idaho
8.0,10.8,46614.0,31660.0,800.0,4.8,13.9,127800.0,"Owyhee County, Idaho",16,073,Owyhee County, Idaho
14.0,8.6,55413.0,44480.0,656.0,4.7,11.0,125600.0,"Payette County, Idaho",16,075,Payette County, Idaho
0.0,10.6,49522.0,37455.0,300.0,3.8,13.0,112600.0,"Power County, Idaho",16,077,Power County, Idaho
0.0,5.2,41901.0,35357.0,1431.0,6.8,13.0,134900.0,"Shoshone County, Idaho",16,079,Shoshone County, Idaho
0.0,4.8,60663.0,51125.0,887.0,8.1,5.3,289900.0,"Teton County, Idaho",16,081,Teton County, Idaho
90.0,4.9,51346.0,41577.0,2505.0,9.8,11.4,139400.0,"Twin Falls County, Idaho",16,083,Twin Falls County, Idaho
0.0,6.8,62365.0,52523.0,5848.0,11.1,11.4,287800.0,"Valley County, Idaho",16,085,Valley County, Idaho
