mil pop,unemployment %,mean income,median income,vacant housing units,rental vacany rate,% below poverty line,median house value,NAME,state,county,county_name,state_name
709.0,2.9,75614.0,57982.0,2138.0,2.8,12.7,161200.0,"Autauga County, Alabama",01,001,Autauga County, Alabama
321.0,3.9,83626.0,61756.0,32700.0,45.6,6.3,211600.0,"Baldwin County, Alabama",01,003,Baldwin County, Alabama
0.0,6.9,51557.0,34990.0,2735.0,5.8,23.8,86500.0,"Barbour County, Alabama",01,005,Barbour County, Alabama
0.0,7.4,61655.0,51721.0,1978.0,2.6,17.0,96400.0,"Bibb County, Alabama",01,007,Bibb County, Alabama
44.0,5.2,66360.0,48922.0,3199.0,7.2,10.1,135300.0,"Blount County, Alabama",01,009,Blount County, Alabama
0.0,3.4,50664.0,33866.0,1162.0,7.0,24.2,74800.0,"Bullock County, Alabama",01,011,Bullock County, Alabama
0.0,6.5,62399.0,44850.0,3470.0,24.8,14.0,98100.0,"Butler County, Alabama",01,013,Butler County, Alabama
515.0,7.3,65276.0,50128.0,9150.0,6.1,10.7,121600.0,"Calhoun County, Alabama",01,015,Calhoun County, Alabama
0.0,6.4,45458.0,29844.0,1354.0,4.0,24.3,68300.0,"Lewis County, Kentucky",21,135,Lewis County, Kentucky
0.0,7.4,54509.0,42231.0,1378.0,11.4,16.0,106100.0,"Lincoln County, Kentucky",21,137,Lincoln County, Kentucky
0.0,5.8,65901.0,52795.0,1076.0,0.7,7.2,90600.0,"Livingston County, Kentucky",21,139,Livingston County, Kentucky
14.0,4.7,62034.0,48912.0,1902.0,6.0,11.5,108900.0,"Logan County, Kentucky",21,141,Logan County, Kentucky
0.0,3.2,66879.0,49286.0,1625.0,5.5,10.4,149100.0,"Lyon County, Kentucky",21,143,Lyon County, Kentucky
41.0,3.5,69292.0,47011.0,4450.0,5.7,10.6,145200.0,"McCracken County, Kentucky",21,145,McCracken County, Kentucky
0.0,7.7,43257.0,29499.0,1355.0,9.1,22.7,76700.0,"McCreary County, Kentucky",21,147,McCreary County, Kentucky
84.0,6.5,69354.0,51649.0,3102.0,3.2,11.9,161400.0,"Madison County, Kentucky",21,151,Madison County, Kentucky
0.0,7.9,57268.0,43587.0,903.0,0.7,13.8,112900.0,"Marion County, Kentucky",21,155,Marion County, Kentucky
0.0,3.6,72700.0,57348.0,3110.0,0.0,6.0,138000.0,"Marshall County, Kentucky",21,157,Marshall County, Kentucky
12.0,4.2,72846.0,46241.0,1645.0,7.0,12.2,144200.0,"Mason County, Kentucky",21,161,Mason County, Kentucky
817.0,5.2,76064.0,61500.0,1840.0,8.3,9.9,154200.0,"Meade County, Kentucky",21,163,Meade County, Kentucky
19.0,6.0,66473.0,52312.0,1477.0,7.2,8.0,148900.0,"Mercer County, Kentucky",21,167,Mercer County, Kentucky
0.0,3.1,48987.0,40391.0,566.0,7.8,17.9,76900.0,"Metcalfe County, Kentucky",21,169,Metcalfe County, Kentucky
14.0,5.3,57260.0,46998.0,1435.0,9.3,14.8,124600.0,"Montgomery County, Kentucky",21,173,Montgomery County, Kentucky
10.0,5.4,51491.0,37399.0,1217.0,7.4,19.4,79900.0,"Morgan County, Kentucky",21,175,Morgan County, Kentucky
50.0,3.3,77856.0,63032.0,1220.0,4.7,5.4,164200.0,"Nelson County, Kentucky",21,179,Nelson County, Kentucky
0.0,5.0,61090.0,47665.0,579.0,2.3,17.2,86500.0,"Nicholas County, Kentucky",21,181,Nicholas County, Kentucky
73.0,3.6,135839.0,103761.0,966.0,2.3,3.9,299300.0,"Oldham County, Kentucky",21,185,Oldham County, Kentucky
0.0,3.9,66447.0,50553.0,1507.0,8.9,11.9,116300.0,"Owen County, Kentucky",21,187,Owen County, Kentucky
0.0,4.0,66536.0,56000.0,1131.0,2.5,10.9,130100.0,"Pendleton County, Kentucky",21,191,Pendleton County, Kentucky
0.0,8.0,51462.0,34700.0,5539.0,5.2,21.0,82700.0,"Pike County, Kentucky",21,195,Pike County, Kentucky
0.0,5.9,53367.0,41071.0,979.0,6.0,15.6,105000.0,"Powell County, Kentucky",21,197,Powell County, Kentucky
0.0,7.7,60152.0,53074.0,247.0,0.0,20.0,101900.0,"Robertson County, Kentucky",21,201,Robertson County, Kentucky
0.0,8.9,54630.0,38744.0,1272.0,3.2,21.0,88500.0,"Rockcastle County, Kentucky",21,203,Rockcastle County, Kentucky
0.0,6.4,55286.0,41731.0,3028.0,8.7,16.3,99000.0,"Russell County, Kentucky",21,207,Russell County, Kentucky
55.0,3.3,88259.0,71750.0,1349.0,2.2,7.3,197900.0,"Scott County, Kentucky",21,209,Scott County, Kentucky
0.0,5.9,60071.0,50159.0,746.0,1.1,9.2,141400.0,"Simpson County, Kentucky",21,213,Simpson County, Kentucky
6.0,4.8,94875.0,85488.0,469.0,0.0,4.8,227000.0,"Spencer County, Kentucky",21,215,Spencer County, Kentucky
21.0,5.6,63238.0,47229.0,701.0,5.3,14.9,112500.0,"Todd County, Kentucky",21,219,Todd County, Kentucky
0.0,9.9,67901.0,57589.0,609.0,2.7,11.9,129700.0,"Trimble County, Kentucky",21,223,Trimble County, Kentucky
12.0,5.1,62460.0,49812.0,1070.0,10.7,8.2,90900.0,"Union County, Kentucky",21,225,Union County, Kentucky
0.0,4.5,69114.0,55321.0,504.0,1.2,9.6,123600.0,"Washington County, Kentucky",21,229,Washington County, Kentucky
0.0,5.7,56491.0,37678.0,2648.0,4.0,14.2,90300.0,"Wayne County, Kentucky",21,231,Wayne County, Kentucky
22.0,6.6,59186.0,39258.0,2805.0,7.0,18.0,104200.0,"Whitley County, Kentucky",21,235,Whitley County, Kentucky
19.0,25.4,34331.0,22292.0,740.0,0.6,33.9,66300.0,"Wolfe County, Kentucky",21,237,Wolfe County, Kentucky
22.0,4.5,71114.0,55002.0,4147.0,2.5,7.0,166600.0,"Androscoggin County, Maine",23,001,Androscoggin County, Maine
48.0,4.9,59352.0,43791.0,10413.0,8.5,8.7,102600.0,"Aroostook County, Maine",23,003,Aroostook County, Maine
0.0,4.8,69798.0,51630.0,9839.0,7.2,7.2,146900.0,"Franklin County, Maine",23,007,Franklin County, Maine
85.0,3.6,78509.0,58345.0,17345.0,6.6,6.5,218000.0,"Hancock County, Maine",23,009,Hancock County, Maine
22.0,3.5,76999.0,57794.0,6971.0,8.7,6.4,209900.0,"Knox County, Maine",23,013,Knox County, Maine
20.0,3.9,76646.0,58125.0,8408.0,2.2,6.5,220000.0,"Lincoln County, Maine",23,015,Lincoln County, Maine
284.0,4.6,69143.0,52128.0,13015.0,7.6,7.8,148300.0,"Penobscot County, Maine",23,019,Penobscot County, Maine
1.0,5.5,55993.0,42083.0,8328.0,6.2,10.1,110100.0,"Piscataquis County, Maine",23,021,Piscataquis County, Maine
38.0,4.7,57775.0,45382.0,9318.0,5.1,11.8,122400.0,"Somerset County, Maine",23,025,Somerset County, Maine
