fips,% active duty,% unemployed,Yearly Income
01003,0.002962962962962963,0.014760147601476014,47374.33435582822
01015,0.00211118930330753,0.05806451612903226,42486.13978494624
01073,0.0015212981744421906,0.04,41184.32730923695
01097,0.002955665024630542,0.03281027104136947,36919.425522252495
01117,,0.018648018648018648,57885.075
04003,0.016454749439042633,0.07109004739336493,32914.99323308271
04013,0.0012329765174017822,0.03126744835287549,43820.542705005326
04015,,0.07011070110701106,34994.288583509515
04019,0.0021468441391155,0.058258642765685015,36859.04579877389
04021,0.003561253561253561,0.03643724696356275,43884.84667418264
04025,0.001610305958132045,0.03485254691689008,41460.15934065934
05119,0.003355704697986577,0.042939719240297276,38330.24967989757
06001,,0.04748889648103861,43677.75850729196
06007,0.0009149130832570907,0.05236907730673317,42393.85279187817
06017,,0.04081632653061224,45738.56603773585
06019,0.002253380070105158,0.07290233837689133,36404.84461092315
06025,0.003232758620689655,0.06228373702422145,31941.564492753623
06029,0.006682705159048382,0.05278592375366569,41444.36560268795
06037,0.0005695455839876327,0.043179424643866746,40447.950025083934
06039,,0.04093567251461988,36352.74847094801
06047,,0.07713498622589532,41249.587357954544
06053,,0.06674757281553398,39007.49773755656
06055,,0.07323232323232323,42351.450617283954
06059,0.00018249285236328247,0.027173049419990464,44501.3224860965
06061,,0.019402985074626865,55569.29296875
06065,0.004286185295087373,0.03998815165876777,44034.94988550291
06067,0.002466091245376079,0.05146746065504041,43278.577366504855
06071,0.001119444755401321,0.051332033788174136,42825.14802096512
06073,0.012659923638555831,0.035222894881673086,46062.72332069339
06075,,0.03619909502262444,43929.47574777688
06077,0.0013812154696132596,0.05252725470763132,44966.93372744244
06079,0.002084781097984712,0.042643923240938165,44579.72083981337
06081,,0.035479632063074903,50894.39928057554
06083,,0.037333333333333336,38311.58862324814
06087,,0.030864197530864196,40107.22934973638
06095,0.003973509933774834,0.06241872561768531,45307.39753737907
06097,,0.04741833508956796,49413.89690222652
06099,0.001314060446780552,0.04559915164369035,46883.40761636107
06107,,0.05793103448275862,40057.55976806423
06111,0.0009673518742442564,0.04363636363636364,47674.59504132231
06113,0.008264462809917356,0.04297994269340974,41642.330148619956
